what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233526675501
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233526679869
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233526689093
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233526692578
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233526703109
executed,command,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.edit.text.java.rename.element,1233526725317
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233526725339
opened,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1233526726505
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1233526726592
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1233526729710
closed,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1233526729714
activated,view,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.views.ProblemView,1233526730850
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1233526731904
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1233526738330
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233526751943
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233526827262
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1233526827339
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233526830453
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233526830892
activated,view,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.views.ProblemView,1233526833025
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1233526836400
opened,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1233526848502
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1233526848692
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1233526862663
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1233526891518
